, los angeles,carnegie mellon university,central georgia technical college,harvard university,massachusetts institute of technology,purdue university,stanford university, berkeley, irvine, san diego,university of kentucky,university of louisville
ap 2-d art and design,3.0,4.0,,,5.0,3.0,,3.0,3.0,3.0,3.0,4.0
ap 2-d art and design2,,,,,,,,,,,,3.0
ap 3-d art and design,3.0,4.0,,,5.0,3.0,,3.0,3.0,3.0,3.0,4.0
ap 3-d art and design2,,,,,,,,,,,,3.0
ap art history,3.0,5.0,3.0,5.0,5.0,3.0,,3.0,4.0,3.0,3.0,3.0
ap art history2,,,,,,,,,3.0,,,4.0
ap biology,3.0,4.0,3.0,5.0,,3.0,,4.0,3.0,4.0,4.0,3.0
ap biology2,,5.0,,,,5.0,,,,3.0,3.0,
ap biology3,,,,,,4.0,,,,,,
ap calculus ab,3.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0
ap calculus ab2,,4.0,,,,4.0,,,3.0,3.0,,3.0
ap calculus bc,3.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0
ap calculus bc2,,,,,,3.0,5.0,4.0,3.0,3.0,,3.0
ap calculus bc: ab subscore,3.0,5.0,,,,,5.0,,,3.0,3.0,4.0
ap calculus bc: ab subscore2,,4.0,,,,,,,,,,3.0
ap chemistry,3.0,5.0,3.0,5.0,,4.0,5.0,3.0,3.0,4.0,3.0,4.0
ap chemistry2,,,,,,3.0,4.0,,4.0,3.0,5.0,3.0
ap chemistry3,,,,,,,,,,5.0,,
ap chinese language and culture,3.0,4.0,,5.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,4.0
ap chinese language and culture2,,5.0,,,,5.0,,,4.0,4.0,3.0,5.0
ap chinese language and culture3,,,,,,4.0,,,,5.0,4.0,3.0
ap comparative government and politics,3.0,4.0,,,5.0,4.0,,3.0,3.0,5.0,3.0,4.0
ap comparative government and politics2,,,,,,3.0,,,,,,3.0
ap computer science a,3.0,5.0,3.0,,,3.0,4.0,3.0,3.0,4.0,3.0,3.0
ap computer science a2,,4.0,,,,4.0,,,,,,
ap computer science principles,3.0,4.0,3.0,,,3.0,4.0,3.0,3.0,4.0,3.0,
ap computer science principles2,,,,,,5.0,,,,,5.0,
ap drawing,3.0,5.0,,,5.0,3.0,,3.0,3.0,3.0,3.0,3.0
ap drawing2,,,,,,,,,,,,4.0
ap english language and composition,3.0,5.0,3.0,5.0,5.0,3.0,,3.0,4.0,3.0,3.0,3.0
ap english language and composition2,,,,,,4.0,,4.0,3.0,,4.0,
ap english literature and composition,3.0,5.0,3.0,5.0,5.0,4.0,,4.0,3.0,3.0,3.0,3.0
ap english literature and composition2,,,,,,3.0,,3.0,4.0,,5.0,
ap environmental science,3.0,4.0,,,,3.0,,3.0,4.0,4.0,3.0,3.0
ap environmental science2,,,,,,4.0,,,3.0,,,
ap european history,3.0,5.0,,5.0,5.0,3.0,,3.0,3.0,3.0,3.0,3.0
ap european history2,,,,,,4.0,,,5.0,,,
ap french language and culture,3.0,5.0,,5.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0
ap french language and culture2,,4.0,,,,3.0,,,4.0,5.0,5.0,
ap french language and culture3,,,,,,5.0,,,,3.0,3.0,
ap german language and culture,3.0,4.0,,5.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0
ap german language and culture2,,5.0,,,,5.0,,,4.0,4.0,5.0,3.0
ap german language and culture3,,,,,,4.0,,,,5.0,4.0,4.0
ap human geography,3.0,4.0,,,5.0,4.0,,3.0,3.0,3.0,3.0,3.0
ap human geography2,,,,,,3.0,,,,,,
ap italian language and culture,3.0,4.0,,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0
ap italian language and culture2,,5.0,,,,3.0,,,4.0,4.0,4.0,4.0
ap italian language and culture3,,,,,,4.0,,,,5.0,,5.0
ap japanese language and culture,3.0,4.0,,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0
ap japanese language and culture2,,5.0,,,,4.0,,,4.0,4.0,5.0,4.0
ap japanese language and culture3,,,,,,3.0,,,,3.0,4.0,5.0
ap latin,3.0,4.0,,5.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0
ap latin2,,5.0,,,,3.0,,,3.0,,5.0,
ap latin3,,,,,,4.0,,,,,3.0,
ap macroeconomics,3.0,5.0,3.0,5.0,,3.0,,3.0,3.0,5.0,3.0,3.0
ap macroeconomics2,,,,,,4.0,,,4.0,,,
ap microeconomics,3.0,5.0,3.0,5.0,,3.0,,3.0,3.0,5.0,3.0,3.0
ap microeconomics2,,,,,,4.0,,,4.0,,,
ap music aural subscore,,,,,,,,,,,3.0,5.0
ap music aural subscore2,,,,,,,,,,,4.0,
ap music aural subscore3,,,,,,,,,,,5.0,
ap music non-aural subscore,,,,,,,,,,,3.0,5.0
ap music non-aural subscore2,,,,,,,,,,,5.0,
ap music non-aural subscore3,,,,,,,,,,,4.0,
ap music theory,3.0,4.0,3.0,,5.0,3.0,,3.0,3.0,3.0,3.0,3.0
ap music theory2,,,,,,,,,4.0,,4.0,
ap music theory3,,,,,,,,,,,5.0,
ap physics 1,3.0,,3.0,,,5.0,4.0,3.0,3.0,3.0,3.0,3.0
ap physics 12,,,,,,3.0,,,,,,
ap physics 2,3.0,,3.0,,,5.0,4.0,3.0,3.0,3.0,3.0,3.0
ap physics 22,,,,,,3.0,,,,,,
ap physics b,3.0,,,5.0,,5.0,,3.0,,3.0,,
ap physics b2,,,,,,3.0,,,,,,
ap physics c: electricity and magnetism,3.0,5.0,,5.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0
ap physics c: electricity and magnetism2,,,,,,3.0,4.0,,3.0,4.0,,
ap physics c: electricity and magnetism3,,,,,,,,,4.0,,,
ap physics c: mechanics,3.0,5.0,,5.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0
ap physics c: mechanics2,,,,,,5.0,5.0,3.0,4.0,4.0,,
ap physics c: mechanics3,,,,,,,,,3.0,,,
ap psychology,3.0,4.0,3.0,5.0,,4.0,,3.0,4.0,4.0,3.0,3.0
ap psychology2,,,,,,3.0,,,3.0,,,4.0
ap research,,,,,5.0,3.0,,,,,3.0,3.0
ap seminar,3.0,,,,5.0,3.0,,,,,4.0,3.0
ap seminar2,,,,,,,,,,,3.0,
ap spanish language and culture,3.0,4.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0
ap spanish language and culture2,,5.0,,,,4.0,,,4.0,5.0,4.0,5.0
ap spanish language and culture3,,,,,,5.0,,,,3.0,5.0,4.0
ap spanish literature and culture,3.0,4.0,3.0,5.0,5.0,3.0,,3.0,4.0,5.0,5.0,4.0
ap spanish literature and culture2,,5.0,,,,4.0,,,3.0,4.0,4.0,3.0
ap spanish literature and culture3,,,,,,,,,,3.0,3.0,
ap statistics,3.0,4.0,3.0,5.0,,4.0,,3.0,3.0,3.0,3.0,3.0
ap statistics2,,,,,,3.0,,,,,4.0,
ap united states government and politics,3.0,4.0,3.0,,5.0,4.0,,3.0,3.0,3.0,3.0,3.0
ap united states government and politics2,,,,,,3.0,,,,5.0,,4.0
ap united states history,3.0,5.0,3.0,5.0,5.0,4.0,,3.0,5.0,3.0,3.0,3.0
ap united states history2,,,,,,3.0,,,3.0,,,
ap world history: modern,3.0,5.0,3.0,,5.0,4.0,,3.0,5.0,3.0,3.0,3.0
ap world history: modern2,,,,,,3.0,,,3.0,,,
