"Exam Name","Minimum Score Required","Number of Credit","Equivalent Course"
"AP 2-D Art and Design","3","3","ART 211"
"AP 3-D Art and Design","3","3","ART 230"
"AP Art History","3","3","ARTH 201"
"AP Art History","5","6","ARTH 201 and ARTH 202"
"AP Biology","3","3",""
"AP Calculus AB","3","4","MATH 125"
"AP Calculus AB","4","4","MATH 117"
"AP Calculus BC","4","8","MATH 117 and MATH 118"
"AP Calculus BC","3","4","MATH 117 or MATH 125"
"AP Chemistry","3","3","CHEM 109"
"AP Chinese Language and Culture","5","6","CHIN 101 and CHIN 102"
"AP Chinese Language and Culture","3","3","CHIN 101"
"AP Comparative Government and Politics","3","3","PS 106"
"AP Computer Science A","3","3","CS 130"
"AP Computer Science Principles","3","3",""
"AP Drawing","3","3","ART 101"
"AP English Language and Composition","4","3","ENGL 101"
"AP English Language and Composition","3","3",""
"AP English Literature and Composition","4","3","ENGL 200"
"AP English Literature and Composition","3","3",""
"AP Environmental Science","4","3","ENVS 111"
"AP Environmental Science","3","3",""
"AP European History","3","6","HIST 116 and HIST 117"
"AP French Language and Culture","3","3","FREN 101"
"AP French Language and Culture","5","6","FREN 101 and FREN 102"
"AP German Language and Culture","5","6","GERM 101 and GERM 102"
"AP German Language and Culture","3","3","GERM 101"
"AP Human Geography","3","3","GEOG 175"
"AP Italian Language and Culture","5","6","ITAL 101 and ITAL 102"
"AP Italian Language and Culture","3","3","ITAL 101"
"AP Japanese Language and Culture","5","6","JPN 101 and JPN 102"
"AP Japanese Language and Culture","3","3","JPN 101"
"AP Latin","5","6","LATN 101 and LATN 102"
"AP Latin","3","3","LATN 101"
"AP Macroeconomics","4","3","ECON 110"
"AP Microeconomics","4","3","ECON 111"
"AP Music Theory","3","3","MUSC 101"
"AP Physics 1","3","4","PHYS 201"
"AP Physics 2","3","4","PHYS 202"
"AP Physics B","3","3",""
"AP Physics C: Electricity and Magnetism","5","4","PHYS 206"
"AP Physics C: Mechanics","5","4","PHYS 205"
"AP Psychology","3","3","PSYC 103"
"AP Spanish Language and Culture","5","6","SPAN 101 and SPAN 102"
"AP Spanish Language and Culture","3","3","SPAN 101"
"AP Spanish Literature and Culture","3","3","SPAN 101"
"AP Spanish Literature and Culture","5","6","SPAN 101 and SPAN 102"
"AP Statistics","4","4","MATH 205"
"AP Statistics","3","3","MATH 200"
"AP United States Government and Politics","3","3","PS 101"
"AP United States History","3","6","HIST 201 and HIST 202"
"AP World History: Modern","3","3","HIST 116"
