"Exam Name","Minimum Score Required","Number of Credit","Equivalent Course"
"AP 2-D Art and Design","3","",""
"AP 3-D Art and Design","3","",""
"AP Art History","3","3",""
"AP Biology","3","4",""
"AP Calculus AB","3","3",""
"AP Calculus BC","3","3",""
"AP Calculus BC: AB Subscore","3","3",""
"AP Chemistry","3","6",""
"AP Chinese Language and Culture","3","3",""
"AP Comparative Government and Politics","3","3",""
"AP Computer Science A","3","",""
"AP Computer Science Principles","3","3",""
"AP Drawing","3","",""
"AP English Language and Composition","3","3",""
"AP English Literature and Composition","3","6",""
"AP Environmental Science","3","4",""
"AP European History","3","3",""
"AP French Language and Culture","3","3",""
"AP German Language and Culture","3","3",""
"AP Human Geography","3","3",""
"AP Italian Language and Culture","3","3",""
"AP Japanese Language and Culture","3","3",""
"AP Latin","3","3",""
"AP Macroeconomics","3","3",""
"AP Microeconomics","3","3",""
"AP Music Theory","3","3",""
"AP Physics 1","3","4",""
"AP Physics 2","3","4",""
"AP Physics B","3","6",""
"AP Physics C: Electricity and Magnetism","3","4",""
"AP Physics C: Mechanics","3","4",""
"AP Psychology","3","3",""
"AP Seminar","3","",""
"AP Spanish Language and Culture","3","6",""
"AP Spanish Literature and Culture","3","6",""
"AP Statistics","3","3",""
"AP United States Government and Politics","3","3",""
"AP United States History","3","3",""
"AP World History: Modern","3","3",""
