"Exam Name","Minimum Score Required","Number of Credit","Equivalent Course"
"AP Art History","3","3","ARTS 1101"
"AP Biology","3","6","BIOL 1111
BIOL 1111L"
"AP Calculus AB","3","3","MATH 1131"
"AP Calculus BC","3","3","MATH 1132"
"AP Chemistry","3","6","CHEM 1211
CHEM 1211L
"
"AP Computer Science A","3","4","CIST 2371"
"AP Computer Science Principles","3","3","CIST 1305"
"AP English Language and Composition","3","3","ENGL 1101"
"AP English Literature and Composition","3","3","ENGL 1102"
"AP Macroeconomics","3","3","ECON 2105"
"AP Microeconomics","3","3","ECON 2106"
"AP Music Theory","3","3","MUSC 1101"
"AP Physics 1","3","4","PHYS 1111
PHYS 1111L"
"AP Physics 2","3","4","PHYS 1112
PHYS 1112L"
"AP Psychology","3","3","PSYC 1101"
"AP Spanish Language and Culture","3","3","SPAN 1101"
"AP Spanish Literature and Culture","3","3","SPAN 1101"
"AP Statistics","3","3","MATH 1127"
"AP United States Government and Politics","3","3","POLS 1101"
"AP United States History","3","3","HIST 2111"
"AP World History: Modern","3","3","HIST 1111"
