"Exam Name","Minimum Score Required","Number of Credit","Equivalent Course"
"AP Art History","5","8",""
"AP Biology","5","8",""
"AP Calculus AB","5","4",""
"AP Calculus BC","5","8",""
"AP Chemistry","5","8",""
"AP Chinese Language and Culture","5","8",""
"AP English Language and Composition","5","4",""
"AP English Literature and Composition","5","8",""
"AP European History","5","8",""
"AP French Language and Culture","5","8",""
"AP German Language and Culture","5","8",""
"AP Italian Language and Culture","5","8",""
"AP Japanese Language and Culture","5","8",""
"AP Latin","5","4",""
"AP Macroeconomics","5","4",""
"AP Microeconomics","5","4",""
"AP Physics B","5","8",""
"AP Physics C: Electricity and Magnetism","5","4",""
"AP Physics C: Mechanics","5","4",""
"AP Psychology","5","4",""
"AP Spanish Language and Culture","5","8",""
"AP Spanish Literature and Culture","5","8",""
"AP Statistics","5","4",""
"AP United States History","5","8",""
