"Exam Name","Minimum Score Required","Number of Credit","Equivalent Course"
"AP 2-D Art and Design","3","5.3",""
"AP 3-D Art and Design","3","5.3",""
"AP Art History","3","5.3",""
"AP Biology","4","5.3","Biology 1A/1AL & 1B"
"AP Calculus AB","3","2.7","Math 1A"
"AP Calculus BC","3","5.3","Math 1A"
"AP Calculus BC","4","5.3","Math 1A and Math 1B"
"AP Chemistry","3","5.3","Chemistry 1A/1AL"
"AP Chinese Language and Culture","3","5.3",""
"AP Comparative Government and Politics","3","2.7",""
"AP Computer Science A","3","1.3",""
"AP Computer Science Principles","3","5.3","Computer Science 10"
"AP Drawing","3","5.3",""
"AP English Language and Composition","3","5.3",""
"AP English Language and Composition","4","5.3","Reading and Writing Composition "A""
"AP English Literature and Composition","4","5.3","Reading and Writing Composition "A""
"AP English Literature and Composition","3","5.3",""
"AP Environmental Science","3","2.7",""
"AP European History","3","5.3",""
"AP French Language and Culture","3","5.3",""
"AP German Language and Culture","3","5.3",""
"AP Human Geography","3","2.7",""
"AP Italian Language and Culture","3","5.3",""
"AP Japanese Language and Culture","3","5.3",""
"AP Latin","3","5.3",""
"AP Macroeconomics","3","2.7",""
"AP Microeconomics","3","2.7",""
"AP Music Theory","3","5.3",""
"AP Physics 1","3","5.3",""
"AP Physics 2","3","5.3",""
"AP Physics B","3","5.3",""
"AP Physics C: Electricity and Magnetism","3","2.7",""
"AP Physics C: Mechanics","5","2.7","Physics 7A"
"AP Physics C: Mechanics","3","5.3",""
"AP Psychology","3","2.7",""
"AP Spanish Language and Culture","3","5.3",""
"AP Spanish Literature and Culture","3","5.3",""
"AP Statistics","3","2.7",""
"AP United States Government and Politics","3","2.7",""
"AP United States History","3","5.3",""
"AP World History: Modern","3","5.3",""
