"Exam Name","Minimum Score Required","Number of Credit","Equivalent Course"
"AP 2-D Art and Design","3","8",""
"AP 3-D Art and Design","3","8",""
"AP Art History","3","8",""
"AP Biology","4","8","BILD 1, 2 & 3"
"AP Biology","3","8","BILD 10"
"AP Calculus AB","4","4","Math 20A or 10A"
"AP Calculus AB","3","4","Math 10A"
"AP Calculus BC","4","8","Math 20A & 20B or 10A & 10B"
"AP Calculus BC","3","8","Math 20A or 10A, 10B"
"AP Calculus BC: AB Subscore","3","4","Math 20A or 10A"
"AP Chemistry","4","8","exempts Chem 4; Chem 6AH, 6BH, 6CH recommended; may take Chem 6A, 6B, 6C for credit."
"AP Chemistry","3","8","Chem 4"
"AP Chemistry","5","8","exempts Chem 6A, 6B, 6C; Chem 6AH, 6BH, 6CH encouraged for those continuing in chemistry or for professional school."
"AP Chinese Language and Culture","3","8","LIFR/LIGM/LIIT/LISP 1C/ICX"
"AP Chinese Language and Culture","4","8","LIFR/LIGM/LIIT/LISP 1D/1DX or LTFR/LTGM/LTSP/LTIT 2A"
"AP Chinese Language and Culture","5","8","LTFR/LTGM/LIIT/LTSP 2B"
"AP Comparative Government and Politics","5","4","POLI 11"
"AP Computer Science A","4","8","CSE 8A"
"AP Computer Science Principles","4","8","CSE 3"
"AP Drawing","3","8",""
"AP English Language and Composition","3","8",""
"AP English Literature and Composition","3","8",""
"AP Environmental Science","4","4","ESYS10"
"AP European History","3","8",""
"AP French Language and Culture","4","8","LIFR/LIGM/LIIT/LISP 1D/1DX or LTFR/LTGM/LTSP/LTIT 2A"
"AP French Language and Culture","5","8","LTFR/LTGM/LIIT/LTSP 2B"
"AP French Language and Culture","3","8","LIFR/LIGM/LIIT/LISP 1C/ICX."
"AP German Language and Culture","3","8","LIFR/LIGM/LIIT/LISP 1C/1CX"
"AP German Language and Culture","4","8","LIFR/LIGM/LIIT/LISP 1D/1DX or LTFR/LTGM/LTSP/LTIT 2A"
"AP German Language and Culture","5","8","LTFR/LTGM/LIIT/LTSP 2B"
"AP Human Geography","3","4",""
"AP Italian Language and Culture","3","8","LIFR/LIGM/LIIT/LISP 1C/1CX"
"AP Italian Language and Culture","4","8","LIFR/LIGM/LIIT/LISP 1D/1DX or LTFR/LTGM/LTSP/LTIT 2A"
"AP Italian Language and Culture","5","8","LTFR/LTGM/LIIT/LTSP 2B"
"AP Japanese Language and Culture","5","8","LTFR/LTGM/LIIT/LTSP 2B"
"AP Japanese Language and Culture","4","8","LIFR/LIGM/LIIT/LISP 1D/1DX or LTFR/LTGM/LTSP/LTIT 2A"
"AP Japanese Language and Culture","3","8","LIFR/LIGM/LIIT/LISP 1C/1CX"
"AP Latin","3","4","LTLA 1, LTLA 2, LTLA 3"
"AP Macroeconomics","5","4","Econ 3"
"AP Microeconomics","5","4","Econ 1"
"AP Music Theory","3","8",""
"AP Physics 1","3","8","PHYS 10 & Elective"
"AP Physics 2","3","8","PHYS 10 & Elective"
"AP Physics B","3","8","PHYS 10 & Elective"
"AP Physics C: Electricity and Magnetism","3","4","Phys 1B"
"AP Physics C: Electricity and Magnetism","4","4","Phys 1B or 2B"
"AP Physics C: Mechanics","3","4","Phys 1A"
"AP Physics C: Mechanics","4","4","Phys 1A or 2A"
"AP Psychology","4","4","Psychology 1"
"AP Spanish Language and Culture","4","8","LIFR/LIGM/LIIT/LISP 1D/1DX or LTFR/LTGM/LTSP/LTIT 2A"
"AP Spanish Language and Culture","5","8","LTFR/LTGM/LIIT/LTSP 2B"
"AP Spanish Language and Culture","3","8","LIFR/LIGM/LIIT/LISP 1C/1CX"
"AP Spanish Literature and Culture","5","8","LTSP 2C"
"AP Spanish Literature and Culture","4","8","LTSP 2B"
"AP Spanish Literature and Culture","3","8","LISP 1D/1DX or LTSP 2A"
"AP Statistics","3","4",""
"AP United States Government and Politics","3","4",""
"AP United States Government and Politics","5","4","POLI 10"
"AP United States History","3","8",""
"AP World History: Modern","3","8",""
