"Exam Name","Minimum Score Required","Number of Credit","Equivalent Course"
"AP 2-D Art and Design","3","3",""
"AP 3-D Art and Design","3","3",""
"AP Art History","3","3","A-H 106"
"AP Biology","4","9","BIO 103, 148 & 152"
"AP Biology","3","6","BIO 102 & 103"
"AP Calculus AB","3","4","MA 113"
"AP Calculus BC","3","8","MA 113 & 114"
"AP Calculus BC: AB Subscore","3","4","MA 113"
"AP Chemistry","3","5","CHE 105 & 111"
"AP Chemistry","5","8","CHE 105, 107 & 111"
"AP Chinese Language and Culture","5","12","CHI 102, 201 & 202"
"AP Chinese Language and Culture","3","4","CHI 102"
"AP Chinese Language and Culture","4","8","CHI 102 & 201"
"AP Comparative Government and Politics","3","3","PS 210"
"AP Computer Science A","3","3","CS 115"
"AP Computer Science Principles","3","3",""
"AP Computer Science Principles","5","3","CS 101"
"AP Drawing","3","3",""
"AP English Language and Composition","3","3",""
"AP English Language and Composition","4","3",""
"AP English Literature and Composition","3","3",""
"AP English Literature and Composition","5","3","ENG 230"
"AP Environmental Science","3","3","EES 110"
"AP European History","3","6","HIS 104 & 105"
"AP French Language and Culture","4","6","FR 202 & 214"
"AP French Language and Culture","5","6","FR 214 & 350"
"AP French Language and Culture","3","6","FR 201 & 202"
"AP German Language and Culture","3","3","GER 201"
"AP German Language and Culture","5","9","GER 201, 202 & 307"
"AP German Language and Culture","4","6","GER 201 & 202"
"AP Human Geography","3","3","GEO 172"
"AP Italian Language and Culture","3","3","ITA 201"
"AP Italian Language and Culture","4","6","ITA 201 & 202"
"AP Japanese Language and Culture","3","4","JPN 201"
"AP Japanese Language and Culture","5","11","JPN 201, 202 & 301"
"AP Japanese Language and Culture","4","8","JPN 201 & 202"
"AP Latin","4","6","CLA 201 & 202"
"AP Latin","5","9","LAT 201, 202,
CLA 302"
"AP Latin","3","8","CLA 101 & 102"
"AP Macroeconomics","3","3","ECO 202"
"AP Microeconomics","3","3","ECO 201"
"AP Music Aural Subscore","3","3","MUS 174"
"AP Music Aural Subscore","4","2","MUS 170"
"AP Music Aural Subscore","5","4","MUS 170 & 172"
"AP Music Non-Aural Subscore","3","3","MUS 174"
"AP Music Non-Aural Subscore","5","4","MUS 171 &  173"
"AP Music Non-Aural Subscore","4","2","MUS 171"
"AP Music Theory","3","3","MUS 174"
"AP Music Theory","4","2","With aural subscore: MUS 170
With non-aural subscore: MUS 171"
"AP Music Theory","5","4","With aural subscore: MUS 170 & 172
With onon-aural subscore: MUS 171, 173"
"AP Physics 1","3","3","PHY 151"
"AP Physics 2","3","3","PHY 152"
"AP Physics C: Electricity and Magnetism","3","4","PHY 232"
"AP Physics C: Mechanics","3","4","PHY 231"
"AP Psychology","3","4","PSY 100"
"AP Research","3","3",""
"AP Seminar","4","3",""
"AP Seminar","3","3",""
"AP Spanish Language and Culture","3","3","SPA 202"
"AP Spanish Language and Culture","4","3","SPA 210"
"AP Spanish Language and Culture","5","6","SPA 210 &  211"
"AP Spanish Literature and Culture","5","6","SPA 320 & 322"
"AP Spanish Literature and Culture","4","3","SPA 320"
"AP Spanish Literature and Culture","3","3","SPA 202"
"AP Statistics","3","3",""
"AP Statistics","4","6","STA 210 & 296"
"AP United States Government and Politics","3","3","PS 101"
"AP United States History","3","6","HIS 108 & 109"
"AP World History: Modern","3","6",""
